Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,13.686868,15.505050,13.545454,14.194949,11.178037,92826657
2012-02-01,14.000505,16.595959,13.797979,16.342930,12.869499,203164137
2012-03-01,16.060606,17.272726,14.929292,15.402525,12.215889,70631550
2012-04-01,15.437373,16.030302,13.647979,14.863131,11.788090,91632717
2012-05-01,14.888888,15.029797,12.305050,12.570202,9.969547,48384369
2012-06-01,12.577272,13.635858,12.020202,13.540404,10.739025,48724335
2012-07-01,13.534343,14.135858,11.323232,11.738383,9.309823,103707153
2012-08-01,11.869191,13.333333,11.561616,12.535353,9.941906,62478999
2012-09-01,12.716161,12.716161,11.222222,12.207575,9.681942,103533705
2012-10-01,12.220707,13.373737,11.930303,12.423737,9.940573,58660668
2012-11-01,12.474747,12.595959,11.683838,11.982323,9.587387,94223943
2012-12-01,11.989898,13.393939,11.683333,13.210101,10.569765,49917186
2013-01-01,13.282828,13.626262,11.972727,12.863131,10.292147,81760833
2013-02-01,12.946464,13.221717,11.324747,11.387878,9.154554,25477551
2013-03-01,11.477272,12.875757,11.164141,11.670202,9.381514,46604151
2013-04-01,11.545454,12.461616,11.313131,11.874242,9.545541,23634171
2013-05-01,11.874242,13.636363,11.829797,13.233838,10.638499,41946003
2013-06-01,13.323232,13.938888,12.453030,12.891919,10.363635,63397521
2013-07-01,12.898989,13.090404,10.858080,11.144444,8.958863,47327346
2013-08-01,11.162626,12.424242,11.162626,11.812626,9.496004,38603664
2013-09-01,11.696464,12.220202,10.543939,10.980303,8.826914,53758386
2013-10-01,10.868686,11.464646,10.617171,10.785353,8.791942,54438714
2013-11-01,10.858080,10.989393,10.585858,10.671212,8.698895,29946906
2013-12-01,10.667171,10.756060,10.000000,10.397979,8.476164,37871361
2014-01-01,10.404545,10.566161,9.343939,9.378787,7.645344,61999344
2014-02-01,9.383838,10.040404,9.020202,9.395959,7.707768,58774815
2014-03-01,9.394444,12.051515,9.272727,11.595454,9.512076,106340751
2014-04-01,11.565656,12.837373,10.455050,12.228282,10.031202,163557900
2014-05-01,12.228282,17.575756,12.040909,16.238382,13.320801,345684735
2014-06-01,16.363636,22.070707,16.363636,21.729292,17.825151,295700229
2014-07-01,21.707069,23.414141,17.197979,17.800505,14.602255,305927622
2014-08-01,17.676767,22.323233,17.183332,20.775757,17.042938,276493932
2014-09-01,20.949493,22.616161,19.838383,20.102020,16.490255,285514317
2014-10-01,20.221212,22.656565,19.959595,21.046968,17.407616,155766600
2014-11-01,21.111111,23.989899,20.727777,23.451010,19.395960,247890060
2014-12-01,23.384342,31.724747,23.080809,29.773232,24.624973,583862499
2015-01-01,29.797979,36.101009,26.393938,33.716667,27.886520,613617939
2015-02-01,33.838383,41.867676,32.973232,38.062122,31.536163,674564418
2015-03-01,37.969696,37.979797,31.131313,33.843433,28.040787,472576896
2015-04-01,33.888889,37.929291,29.535353,31.157070,25.815020,350832240
2015-05-01,31.157070,36.646465,29.919191,36.154545,29.955648,351714132
2015-06-01,36.212120,36.918686,31.944445,34.003029,28.173019,259903215
2015-07-01,34.131313,40.555553,32.222221,40.254040,33.352261,296254431
2015-08-01,40.262627,42.020203,29.818180,34.030807,28.196039,302746059
2015-09-01,33.747978,36.560604,31.616667,34.407574,28.675987,364465992
2015-10-01,34.545452,38.448483,34.271214,37.690910,31.412395,194191470
2015-11-01,37.696968,39.393940,36.515152,37.995453,31.666199,117776175
2015-12-01,38.037876,41.893940,35.090908,41.548485,34.627369,223314564
2016-01-01,41.727272,42.934849,35.113636,37.319695,31.103014,225701553
2016-02-01,37.727272,38.045452,31.060606,31.210606,26.011568,167444541
2016-03-01,31.060606,37.848484,30.545454,37.099998,30.983612,256186227
2016-04-01,36.606060,37.348484,34.319695,35.813637,29.909323,143730510
2016-05-01,35.459091,36.515152,32.787876,35.704544,29.818213,172629699
2016-06-01,35.878788,39.816666,34.545452,38.396969,32.066757,264243837
2016-07-01,38.484848,39.143940,36.700001,37.451515,31.277176,158717691
2016-08-01,37.454544,38.393940,36.393940,36.983334,30.886183,138719229
2016-09-01,37.024242,39.363636,35.790909,37.719696,31.873724,285119274
2016-10-01,37.721210,40.227272,37.577271,39.430302,33.319214,165941556
2016-11-01,40.303028,43.787876,36.490910,43.607574,36.849079,233905584
2016-12-01,43.609089,46.212120,40.309090,41.668182,35.210251,248798418
